,name,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
216,Daniel Lynch,58.0,13.0,-470.053,280.3,-14.0,-37.0,149.0,92.0,230.0,-45.24
217,Lance Lynn,1.0,0.0,2.704,96.0,79.0,32.0,16.0,32.0,112.0,1.13
218,Kenta Maeda,1.0,0.0,4.156,59.0,46.0,22.0,4.0,20.0,69.0,1.26
219,Tyler Mahle,0.0,0.0,3.926,69.1,70.0,41.0,14.0,28.0,75.0,1.25
220,Sean Manaea,5.0,0.0,3.015,70.4,59.0,23.0,11.0,13.0,65.0,1.06
221,Matt Manning,0.0,0.0,5.573,15.5,19.0,7.0,2.0,5.0,17.0,1.53
222,Alek Manoah,4.0,2.0,2.213,15.6,10.0,5.0,-2.0,9.0,21.0,0.95
223,Nick Margevicius,0.0,4.0,4.076,25.3,30.0,17.0,4.0,11.0,20.0,1.18
224,German Marquez,0.0,0.0,4.153,95.9,96.0,48.0,16.0,32.0,97.0,1.33
225,Evan Marshall,0.0,0.0,3.433,14.8,18.0,1.0,0.0,0.0,18.0,1.37
226,Brett Martin,0.0,0.0,3.947,18.0,20.0,1.0,0.0,0.0,20.0,1.4
227,Carlos Martinez,0.0,1.0,4.099,62.6,63.0,25.0,2.0,28.0,63.0,1.41
228,Chris Martin,0.0,0.0,3.68,23.4,26.0,1.0,0.0,0.0,26.0,1.14
229,Phil Maton,0.0,0.0,4.101,24.9,25.0,25.0,0.0,1.0,25.0,1.32
230,Tyler Matzek,0.0,0.0,2.664,12.6,14.0,0.0,0.0,13.0,14.0,1.26
231,Steven Matz,0.0,0.0,4.34,70.7,73.0,36.0,15.0,28.0,74.0,1.3
232,Dustin May,2.0,0.0,2.546,23.0,22.0,8.0,4.0,6.0,22.0,1.26
233,Mike Mayers,0.0,0.0,3.803,23.3,26.0,4.0,0.0,0.0,26.0,1.33
234,Trevor May,0.0,0.0,3.567,24.9,27.0,0.0,0.0,0.0,28.0,1.3
235,Tim Mayza,0.0,0.0,4.297,14.8,25.0,0.0,0.0,0.0,25.0,1.36
236,Shane McClanahan,4.0,0.0,3.992,24.1,23.0,9.0,3.0,7.0,26.0,1.31
237,Lance McCullers,17.0,0.0,2.887,97.0,83.0,34.0,0.0,53.0,119.0,1.25
238,T.J. McFarland,0.0,0.0,2.479,19.0,25.0,5.0,0.0,0.0,15.0,0.99
239,Jake McGee,0.0,0.0,3.457,23.1,29.0,1.0,0.0,0.0,29.0,1.08
240,Collin McHugh,0.0,0.0,3.002,32.0,21.0,20.0,0.0,20.0,41.0,1.06
241,Triston McKenzie,0.0,0.0,4.418,26.2,14.0,9.0,4.0,6.0,29.0,1.16
242,John Means,0.0,0.0,3.811,56.6,45.0,23.0,11.0,11.0,46.0,1.02
243,Mark Melancon,0.0,0.0,2.267,27.0,30.0,0.0,0.0,0.0,30.0,1.17
244,Julian Merryweather,0.0,0.0,3.763,2.8,3.0,2.0,0.0,4.0,0.0,1.11
245,Miles Mikolas,0.0,0.0,4.032,65.3,66.0,22.0,11.0,10.0,54.0,1.16
246,Wade Miley,1.0,0.0,3.625,65.3,66.0,25.0,3.0,25.0,55.0,1.25
247,Andrew Miller,0.0,0.0,4.453,15.4,25.0,0.0,0.0,0.0,25.0,1.55
248,Justin Miller,0.0,0.0,7.824,6.5,14.0,0.0,0.0,0.0,5.0,1.53
249,Shelby Miller,0.0,0.0,11.905,10.1,13.0,10.0,0.0,11.0,3.0,2.76
250,Alec Mills,0.0,0.0,4.409,30.8,35.0,16.0,1.0,9.0,27.0,1.3
251,Juan Minaya,0.0,0.0,4.051,14.2,16.0,0.0,0.0,15.0,16.0,1.58
252,Mike Minor,0.0,0.0,4.305,86.7,75.0,44.0,15.0,30.0,89.0,1.19
253,A.J. Minter,0.0,0.0,4.219,33.6,34.0,0.0,0.0,13.0,36.0,1.28
254,Casey Mize,0.0,0.0,4.115,27.6,29.0,13.0,7.0,9.0,23.0,1.23
255,Frankie Montas,1.0,0.0,4.391,58.7,57.0,23.0,11.0,22.0,65.0,1.38
256,Rafael Montero,0.0,0.0,4.8,12.1,14.0,13.0,0.0,1.0,13.0,1.2
257,Jordan Montgomery,0.0,0.0,4.446,37.8,39.0,17.0,8.0,8.0,40.0,1.21
258,Matt Moore,0.0,0.0,6.927,31.3,40.0,22.0,8.0,12.0,27.0,1.83
259,Adam Morgan,0.0,0.0,3.825,13.8,23.0,0.0,0.0,0.0,24.0,1.35
260,Charlie Morton,0.0,0.0,3.414,86.1,80.0,32.0,16.0,32.0,111.0,1.17
261,Joe Musgrove,0.0,0.0,3.324,76.5,67.0,27.0,13.0,15.0,86.0,1.07
262,Jimmy Nelson,0.0,0.0,-1.33,10.7,9.0,6.0,0.0,5.0,16.0,0.6
263,Hector Neris,0.0,0.0,3.93,26.5,33.0,0.0,0.0,0.0,33.0,1.22
264,Aaron Nola,0.0,0.0,3.628,101.7,87.0,35.0,17.0,34.0,119.0,1.19
265,Sean Nolin,0.0,22.0,25.27,-89.7,63.0,122.0,-6.0,23.0,-45.0,6.34
